"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DataAccess SOAP API","NumberConversion","Conversión de número a palabras","0","0","1","0","0"
"Simple Books API","Contract","Validación del contrato","0","0","1","0","0"
"Simple Books API","Books","GET Books por ID","0","0","3","0","0"
"JSONPlaceholder API","Posts","GET Posts","0","0","1","0","0"
"Rick and Morty API","Characters","GET Character","0","0","1","0","0"
"Simple Books API","Autenticación","Registro de cliente","0","0","3","0","0"
"Simple Books API","Books","GET Books","0","0","2","0","0"
"JSONPlaceholder API","Posts","DELETE Posts","0","0","1","0","0"
"Simple Books API","Orders","POST Orders — Seguridad","0","0","1","0","0"
"Simple Books API","Books","GET Books — Manejo de errores","0","0","1","0","0"
"Simple Books API","Books","Performance Books","0","0","1","0","0"
"Simple Books API","Idempotencia","Idempotencia HTTP","0","0","2","0","0"
"Simple Books API","Orders","POST Orders — Manejo de errores","0","0","1","0","0"
"Rick and Morty API","Characters","GET Character — JsonPath anidado","0","0","1","0","0"
"Simple Books API","Orders","POST Orders","0","0","1","0","0"
"Simple Books API","Orders","GET Orders — Seguridad","0","0","1","0","0"
"Simple Books API","Orders","GET Orders","0","0","1","0","0"
"JSONPlaceholder API","Posts","PUT Posts","0","0","1","0","0"
"JSONPlaceholder API","Posts","GET Users","0","0","1","0","0"
"JSONPlaceholder API","Posts","POST Posts","0","0","1","0","0"
